geo_longitude,geo_latitude,Unique ID,Name,City,Neighborhood,Multi-System,System,Multi-Line,Lines,Service,Limited Service,Service Frequency,Terminus,Connections,Handicap Accessible,Status,Year Opened,Web Link,Web Link (HTML)
-71.089838,42.339985,1192,Northeastern,"Boston, MA",Fenway-Kenmore,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1941,,"<a href="""">Station Link</a>"
-71.095069,42.3379,1193,Museum of Fine Arts,"Boston, MA",Fenway-Kenmore,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1941,,"<a href="""">Station Link</a>"
-71.099527,42.336122,1194,Longwood,"Boston, MA",Mission Hill,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,,,"<a href="""">Station Link</a>"
-71.104438,42.334306,1195,Brigham Circle,"Boston, MA",Mission Hill,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,,,"<a href="""">Station Link</a>"
-71.105975,42.333582,1196,Fenwood Road,"Boston, MA",Mission Hill,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.109514,42.333161,1197,Mission Park,"Boston, MA",Mission Hill,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.111962,42.331608,1198,Riverway,"Boston, MA",Mission Hill,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.111005,42.329324,1199,Back of the Hill,"Boston, MA",Mission Hill,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.110317,42.328242,1200,Heath Street,"Boston, MA",Jamaica Plain,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),FALSE,Constant (>70),TRUE,None,TRUE,Built,1970s,,"<a href="""">Station Link</a>"
-71.076674,42.371545,1201,Lechmere (Planned),"Cambridge, MA",Northpoint,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),"D (Green Line), E (Green Line)",,,FALSE,None,,Under Construction,,,"<a href="""">Station Link</a>"
-71.096039,42.37806,1202,Union Square (Planned),"Somerville, MA",Ward Two,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),,,FALSE,None,,Under Construction,,,"<a href="""">Station Link</a>"
-71.088124,42.380877,1203,East Somerville (Planned),"Somerville, MA",East Somerville,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),,,FALSE,None,,Under Construction,,,"<a href="""">Station Link</a>"
-71.095125,42.387139,1204,Gilman Square (Planned),"Somerville, MA",Winter Hill,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),,,FALSE,None,,Planned,,,"<a href="""">Station Link</a>"
-71.105942,42.393143,1205,Magoun Square (Planned),"Somerville, MA",Magoun Square,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),,,FALSE,None,,Planned,,,"<a href="""">Station Link</a>"
-71.110838,42.39945,1206,Ball Square (Planned),"Somerville, MA",Powder House Square,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),,,FALSE,None,,Planned,,,"<a href="""">Station Link</a>"
-71.116519,42.407146,1207,College Avenue (Planned),"Medford, MA",South Medford,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),,,FALSE,None,,Planned,,,"<a href="""">Station Link</a>"
-71.063093,42.366874,1226,North Station,"Boston, MA",Downtown,TRUE,"Amtrak, MBTA Commuter Rail",TRUE,"Downeaster (Amtrak), Fitchburg Line (MBTA Commuter Rail), Haverhill Line (MBTA Commuter Rail), Lowell Line (MBTA Commuter Rail), Newburyport/Rockport Line (MBTA Commuter Rail)","Main Line (Haverhill Line), Wildcat Branch (Haverhill Line), Newburyport Branch (Newburyport/Rockport Line), Rockport Branch (Newburyport/Rockport Line)","Downeaster - True, Fitchburg Line - False, Haverhill Line (Main Line) - False, Haverhill Line (Wildcat Branch) - True, Lowell Line - False, Newburyport/Rockport Line (Newburyport Branch) - False, Newburyport/Rockport Line (Rockport Branch) - False","Downeaster - Light (<15), Ftichburg Line - Medium (<35), Haverhill Line (Main Line) - Medium (<35), Haverhill Line (Wildcat Branch) - Minimal (<5), Lowell Line - Medium (<35), Newburyport/Rockport Line (Newburyport Branch) - Medium (<35), Newburyport/Rockport Line (Rockport Branch) - Medium (<35)",TRUE,North Station (MBTA Subway),TRUE,Built,1995,,"<a href="""">Station Link</a>"
-71.176246,42.395982,1227,Belmont,"Belmont, MA",,FALSE,MBTA Commuter Rail,FALSE,Fitchburg Line (MBTA Commuter Rail),,FALSE,Medium (<35),FALSE,None,FALSE,Built,1852,,"<a href="""">Station Link</a>"
